country_name,region_code,country_code,gdp_ppp_current_international,population_total,population_cgr_1960_2015,internet_users_per_100_people,popltn_largest_city_of_urban_pop,2014_life_expectancy_at_birth_total_years,literacy_rate_adult_female_of_females_ages_15_and_above,exports_of_goods_and_services_of_gdp
Kosovo,EU,KSV,17453861945.579655,1797151,0.01171644828554319,,,71.09756097560977,,0.19092772046820186
Kuwait,ME,KWT,277554479766.44476,3892115,0.050287348067360904,82.0791147627883,0.7259733555161689,74.5850243902439,95.2303924560547,
Latin America & Caribbean (excluding high income),,LAC,9209370995471.56,605364992,0.01975222086580386,53.88393399178453,0.2162660293676997,74.71736291785952,,0.19762220217962956
Lao PDR,SE,LAO,38604831855.240074,6802023,0.02142316667269939,18.2,0.37942260767330926,66.11736585365855,72.8244171142578,0.3484858194064541
Lebanon,ME,LBN,81547339207.22255,5850743,0.02161294836948957,74,0.43346343529932146,79.37309756097562,92.039421081543,0.5694158991762457
Liberia,AF,LBR,3765554193.6569567,4503438,0.025617765537113923,5.903867602799,0.5646365425907873,60.834414634146356,32.8148307800293,0.23477837311251826
Libya,ME,LBY,88866632894.62634,6278438,0.027204406152359306,19.016079781565,0.22833601380707563,71.71612195121952,85.8112869262695,0.2895025862560963
St. Lucia,MA,LCA,2033272332.6535707,184999,0.013207206673619742,52.35,,75.04685365853659,,0.4507183010927588
Latin America & Caribbean,,LCN,9907510033896.549,632959079,0.019351781336384155,54.45838430346568,0.22776476683020846,74.94196451894325,,0.20369927266381577
Least developed countries: UN classification,,LDC,2381001746126.3257,954218054,,12.62860121827802,0.3392751140721294,63.190445941854506,,0.22865697841246246
Low income,,LIC,1049835524545.5281,638286288,0.026110768752207525,9.460342052574964,0.3230128245774074,61.27438557102727,,0.20371682712551725
Liechtenstein,EU,LIE,,37531,0.015049658617370731,96.6411950959488,,82.26097560975612,,
Sri Lanka,SS,LKA,246117281533.06995,20966000,0.013743981814100081,29.988737549341,0.18361556744295662,74.7948048780488,91.7086486816406,0.205255999613707
Lower middle income,,LMC,18803605902340.312,2927414098,0.020741637283167247,28.632061531212056,0.16439467851896666,67.25391712529236,,
Low & middle income,,LMY,60784067194960.625,6159443196,0.01826327757646662,36.7986475240125,0.1541543773112109,69.68393988888522,,0.251395446615191
Lesotho,AF,LSO,,2135022,0.016855682106559078,16.071707703394,,49.70058536585366,88.2874984741211,
Late-demographic dividend,,LTE,35413131428526.625,2249154750,0.013095917373177501,54.059255770000306,0.10279366039246916,75.11927315919063,,0.28118216778457034
Lithuania,EU,LTU,80699093693.7234,2910199,0.0008420316702937303,71.378,0.26699095589545935,73.96585365853659,99.8413314819336,0.7729156191095922
Luxembourg,EU,LUX,58065037298.673515,569676,0.010891068525441527,97.3341,,82.20731707317074,,2.138498440873111
Latvia,EU,LVA,48048688556.42923,1978440,-0.0012640934356599187,79.2006,0.4657125582846753,74.1878048780488,99.9077072143555,0.5875985019095321
"Macao SAR, China",EA,MAC,65382963804.226265,587606,0.022647743144862842,77.6001318608868,0.9945779995439122,80.55309756097562,94.5989227294922,0.777875049223329
St. Martin (French part),MA,MAF,,31754,0.037113949097770105,,,79.32195121951221,,
Morocco,ME,MAR,273358206500.34207,34377511,0.018820110582677296,57.08,0.16985771841970224,74.01609756097562,62.0461196899414,
Monaco,EU,MCO,,37731,0.009481269971420403,93.3633020180933,,,,
Moldova,EU,MDA,17907592057.814014,3554150,0.006098123569572511,49.8369395415,0.4536246474777856,71.4558780487805,99.1035919189453,0.43429497515517873
Madagascar,AF,MDG,35365948356.0519,24235390,0.02874533785215516,4.173972190007,0.3067459943388646,65.08560975609757,62.6137886047363,0.3318253105823989
Maldives,SS,MDV,5170397875.492603,409163,0.027941304871935246,54.461955146942,,76.77282926829268,98.8550796508789,1.0493267359448957
Middle East & North Africa,,MEA,7963288076658.239,424065257,0.02560660564471995,43.70753336681495,0.2621074966000608,72.85437336002803,,
Mexico,MA,MEX,2194431313647.827,127017224,0.022098172634979374,57.4310429923633,0.20861676010812624,76.72185365853659,93.5134201049805,0.35335621951912155
Marshall Islands,PA,MHL,,52993,0.023633048580547822,19.282441803511,,,98.2029800415039,
Middle income,,MIC,59742389390219.13,5521156908,0.017540641470197738,39.79636329491206,0.1423195606100141,70.64114396734065,,0.25219778235245793
"Macedonia, FYR",EU,MKD,28906996528.633312,2078453,0.00608653529255232,70.3802,0.42350953761121596,75.34239024390244,96.8707275390625,0.48525308844963577
Mali,AF,MLI,42737160308.68004,17599694,0.022188800656994356,10.33692498389,0.3580023270862995,57.98626829268293,22.195779800415,0.21805605598866287
Malta,EU,MLT,,431333,0.00507277476041379,76.184,,81.74634146341464,95.5901489257813,
Myanmar,SE,MMR,,53897154,0.016861603900730326,21.8,0.26128896891758624,65.8578536585366,91.1504516601563,
Middle East & North Africa (excluding high income),,MNA,,362560941,0.0240873897835574,38.20625384794834,0.2467468286796446,72.26739736486142,,
Montenegro,EU,MNE,9638179881.743725,622388,0.004712378779789139,64.564993139872,,76.18070731707319,98.0236434936523,0.4330984532833333
Mongolia,EA,MNG,36067684620.81732,2959134,0.02076543579412049,21.4360311065255,0.6460896160918678,69.4639024390244,98.5517578125,0.44936983262060115
Northern Mariana Islands,PA,MNP,,55070,0.03137381686754015,,,,,
Mozambique,AF,MOZ,33176597932.4473,27977863,0.024242032834999927,9,0.13172548475283288,55.0259512195122,45.5254707336426,0.26163923969022856
Mauritania,AF,MRT,,4067564,0.028694848187416744,15.199126690825,0.3973791719494349,63.01658536585368,41.6115303039551,
Mauritius,,MUS,24596139715.391705,1262605,0.011882337194288661,50.1393184766711,,74.19439024390245,88.4531173706055,0.4980175250783078
Malawi,AF,MWI,20359121922.502388,17215232,0.028764220073973723,9.2981483471244,0.32322313185159696,62.72163414634147,59.0311088562012,0.281110942364209
Malaysia,SE,MYS,815644552976.7932,30331007,0.024156365780872324,71.0640678111957,0.3017334252653243,74.71829268292684,93.1064682006836,0.7100316541588654
North America,,NAC,19539247514183.883,357335829,0.010734669116374551,75.9372515632806,0.08429398788602929,79.24410182562261,,0.14278418147939675
Namibia,AF,NAM,25606197767.86505,2458830,0.025898384088006265,22.3070147912325,0.32074453712662016,64.68019512195123,90.6467208862305,0.4390475923412621
New Caledonia,PA,NCL,,273000,0.022801969334465877,74.00175279141,,77.57317073170732,96.5335998535156,
Niger,AF,NER,18974643519.50494,19899120,0.032673508065686585,2.220165349673,0.2923106970001097,61.458487804878054,11.0157203674316,0.1717690862890694
Nigeria,AF,NGA,1091697772066.921,182201962,0.025664938521794634,47.442550294429,0.15075253930240448,52.75426829268294,49.6801986694336,
Nicaragua,MA,NIC,31564122172.311058,6082032,0.022647366227864785,19.704291498993,0.2674809046707682,74.81014634146341,82.6454925537109,0.37520742700300624
Netherlands,EU,NLD,820725814742.4695,16936520,0.007084768146128129,93.0965,0.07116728898321269,81.3048780487805,,0.8276380398837558
Norway,EU,NOR,319401440788.5047,5195921,0.006789582958263596,96.8103,0.23583328111689292,81.75121951219514,,0.3705440571035142
Nepal,SS,NPL,70090459204.67131,28513700,0.019128304802740637,17.58161800656,0.2228027487718604,69.60468292682927,54.7505187988281,0.11652023588241772
Nauru,PA,NRU,,10222,0.01530624433029426,,,,,
New Zealand,AU,NZL,169959549519.43738,4595700,0.012099374549196407,88.22288881795,0.33901235551731324,81.40487804878049,,
OECD members,,OED,50986895126041.06,1282975040,0.008884016886801183,77.24348745650099,0.17751552920912136,80.1171445637228,,0.2841801484388088
Oman,ME,OMN,171691585247.73654,4490541,0.038856964360713286,74.174165970433,0.24036103818699608,77.08509756097561,89.6620483398438,
Other small states,,OSS,714478975540.9653,28650005,0.020887468707754486,40.395563825441116,,66.44733240300766,,0.571950815367137
Pakistan,SS,PAK,952505420986.737,188924874,0.026465024822479144,18,0.22694412748868353,66.18336585365854,42.7271690368652,0.10946127045841324
Panama,MA,PAN,87195707557.5763,3929141,0.022868825258613112,51.2054249948687,0.63933263366933,77.5951463414634,94.4217071533203,
Peru,SA,PER,389146724477.5172,31376670,0.020894319360909686,40.9,0.40126001793561833,74.52553658536587,91.5406265258789,0.21029108728452733
Philippines,SE,PHL,741029139380.9823,100699395,0.024729872213357762,40.7,0.2897335367230693,68.26563414634147,97.0327529907227,0.279353429590644
Palau,PA,PLW,325455134.940257,21291,0.014514708777465968,,,,99.5526962280273,0.6245650661099513
Papua New Guinea,PA,PNG,,7619321,0.024927430466509026,7.9,0.3483302435278077,62.606926829268296,61.7729911804199,
Poland,EU,POL,993129043248.9603,37999494,0.004529026624939592,67.997,0.07486834975083585,77.25365853658538,99.6692123413086,0.4936179105278215
Pre-demographic dividend,,PRE,3114869373863.4214,850271023,0.027781234300871205,21.071090804173185,0.2998250704622894,58.364579662246435,,0.264478700426771
Puerto Rico,MA,PRI,,3474182,0.007071160759496431,79.46876882531,0.7574934636884909,79.3747317073171,93.8100509643555,
"Korea, Dem. People’s Rep.",EA,PRK,,25155317,0.01445506410295061,,0.18695651407315958,70.07468292682927,99.9990310668945,
Portugal,EU,PRT,302328671399.3892,10348648,0.0028324937621118096,68.6329,0.4391385305903704,80.7219512195122,94.1327362060547,0.4033561587391985
Paraguay,SA,PRY,60976954889.71775,6639123,0.022980364072055837,44.381596919184,0.5947983224694727,72.92170731707317,94.9580764770508,0.4186182458766636
Pacific island small states,,PSS,13357433244.84636,2351091,0.0183290081519234,29.782841463942372,,69.91903221846056,,0.5501975431062557
Post-demographic dividend,,PST,47111753718673.16,1097737383,0.006835801544299525,79.77495336243753,0.17595370616856534,80.47215977104473,,0.29382391415508424
French Polynesia,PA,PYF,,282764,0.023672954986478256,64.560209747212,,76.54168292682927,,
Qatar,ME,QAT,321417765756.80505,2235355,0.07261455552875185,92.8848264535481,0.32355385908036943,78.59680487804879,97.5120086669922,0.5536652489367025
Romania,EU,ROU,424474231138.59094,19832389,0.001357111741054906,55.7632,0.17259629001755328,75.06341463414634,98.4547119140625,0.41093648534164345
Russian Federation,RU,RUS,3579826387384.514,144096812,0.0033483630740152037,73.41,0.11407860544729312,70.3658536585366,99.7129364013672,0.2953184050308866
Rwanda,AF,RWA,20418305189.380844,11609666,0.02532756765641797,18,0.37579857578536147,63.96565853658538,68.2693176269531,0.1442521843412712
South Asia,,SAS,9862148895906.42,1744161298,0.020476404352264055,23.627941115101414,0.11543696161563277,68.12104459682145,,
Saudi Arabia,ME,SAU,1685203505623.7932,31540372,0.03785472439397419,69.6162358014004,0.2429377878176294,74.33721951219513,91.8406829833984,0.3374978895829816
Sudan,AF,SDN,167908849208.89987,40234882,0.030945109425411843,26.614928545846,0.37710865411676275,63.45853658536585,53.1235504150391,0.06907108796273997
Senegal,AF,SEN,36776220601.45834,15129273,0.028779401239190427,21.690264133037,0.5321830918523663,66.37258536585367,43.8003616333008,0.27794436115768284
Singapore,SE,SGP,471630937868.89514,5535002,0.022290266792237112,82.103,1,82.64634146341464,94.984016418457,1.764949634496022
Solomon Islands,PA,SLB,1275898544.3584018,583591,0.02951119250434342,10.000464982561,,67.93080487804879,,0.4498961992136304
